Nome,Twitter,Partito,Tipo
ACQUAROLI Francesco,AcquaroliF,FDI,Camera
BELLUCCI Maria Teresa,MaresaBellucci,FDI,Camera
BUCALO Carmela,\N,FDI,Camera
BUTTI Alessio,216895644,FDI,Camera
CARETTA Maria Cristina,\N,FDI,Camera
CIABURRO Monica,monicaciaburro,FDI,Camera
CIRIELLI Edmondo,edmondocirielli,FDI,Camera
CROSETTO Guido,GuidoCrosetto,FDI,Camera
DE CARLO Luca,decarlosindaco,FDI,Camera
DEIDDA Salvatore,deidda,FDI,Camera
DELMASTRO DELLE VEDOVE Andrea,DelmastroAndrea,FDI,Camera
DONZELLI Giovanni,Donzelli,FDI,Camera
FERRO Wanda,WandaFerro,FDI,Camera
FIDANZA Carlo,FidanzaCarlo,FDI,Camera
FOTI Tommaso,TommasoFoti,FDI,Camera
FRASSINETTI Paola,FrassinettiP,FDI,Camera
GEMMATO Marcello,marcellogemmato,FDI,Camera
LOLLOBRIGIDA Francesco,\N,FDI,Camera
LUCASELLI Ylenja,ylucaselli,FDI,Camera
MASCHIO Ciro,\N,FDI,Camera
MELONI Giorgia,GiorgiaMeloni,FDI,Camera
MOLLICONE Federico,fmollicone,FDI,Camera
MONTARULI Augusta,augustamontarul,FDI,Camera
OSNATO Marco,MarcoOsnato,FDI,Camera
PRISCO Emanuele,EmanuelePrisco,FDI,Camera
RAMPELLI Fabio,fabiorampelli,FDI,Camera
RIZZETTO Walter,w_rizzetto,FDI,Camera
ROTELLI Mauro,\N,FDI,Camera
SILVESTRONI Marco,Silvestroninews,FDI,Camera
TRANCASSINI Paolo,PTrancassini,FDI,Camera
VARCHI Maria Carolina,CarolinaVarchi,FDI,Camera
ZUCCONI Riccardo,\N,FDI,Camera
ACUNZO Nicola,nicola_acunzo,CD,Camera
ADELIZZI Cosimo,cosimo_adelizzi,M5S,Camera
AIELLO Davide,DavideAiello85,M5S,Camera
AIELLO Piera,\N,M5S,Camera
ALAIMO Roberta,\N,M5S,Camera
ALEMANNO Maria Soave,msalemanno,M5S,Camera
AMITRANO Alessandro,AleAmitrano,M5S,Camera
ANGIOLA Nunzio,NunzioAngiola,M5S,Camera
APRILE Nadia,\N,M5S,Camera
ARESTA Giovanni Luca,glaresta,M5S,Camera
ASCARI Stefania,stefania_ascari,M5S,Camera
AZZOLINA Lucia,AzzolinaLucia,M5S,Camera
BALDINO Vittoria,BaldinoVittoria,M5S,Camera
BARBUTO Elisabetta Maria,\N,M5S,Camera
BARONI Massimo Enrico,M5S_Baroni,Ex M5S,Camera
BATTELLI Sergio,BattelliM5S,M5S,Camera
BELLA Marco,\N,M5S,Camera
BERARDINI Fabio,fabioberardini,CD,Camera
BERTI Francesco,FrancescoBerti_,M5S,Camera
BILOTTI Anna,bilotti_anna,M5S,Camera
BOLOGNA Fabiola,\N,Cambiamo!,Camera
BONAFEDE Alfonso,AlfonsoBonafede,M5S,Camera
BRESCIA Giuseppe,g_brescia,M5S,Camera
BRUNO Raffaele,\N,M5S,Camera
BUFFAGNI Stefano,SBuffagni,M5S,Camera
BUOMPANE Giuseppe,BuompaneG,M5S,Camera
BUSINAROLO Francesca,FrancBusinarolo,M5S,Camera
CABRAS Pino,Pinokabras,Ex M5S,Camera
CADEDDU Luciano,\N,M5S,Camera
CANCELLERI Azzurra Pia Maria,Azzurra_C,M5S,Camera
CANTONE Luciano,\N,M5S,Camera
CAPPELLANI Santi,\N,M5S,Camera
CARABETTA Luca,lucacarabetta,M5S,Camera
CARBONARO Alessandra,alecarbonaroM5S,M5S,Camera
CARELLI Emilio,EmilioCarelli,Ex M5S,Camera
CARINELLI Paola,berenice0104,M5S,Camera
CASA Vittoria,\N,M5S,Camera
CASO Andrea,andreacaso85,M5S,Camera
CASSESE Gianpaolo,casseseM5S,M5S,Camera
CASTELLI Laura,LaCastelliM5s,M5S,Camera
CATALDI Roberto,\N,M5S,Camera
CATTOI Maurizio,\N,M5S,Camera
CHIAZZESE Giuseppe,chiazzeseM5S,M5S,Camera
CILLIS Luciano,cillis_luciano,M5S,Camera
CIMINO Rosalba,\N,M5S,Camera
CIPRINI Tiziana,TiziCip,M5S,Camera
COLLETTI Andrea,AndCol81,Ex M5S,Camera
COMINARDI Claudio,cla_cominardi,M5S,Camera
CORDA Emanuela,Emanuela_Corda,Ex M5S,Camera
CORNELI Valentina,UnaValeUno,M5S,Camera
